model,trainable_params,total_params,trainable_pct,training_time_s,val_loss,val_accuracy,val_f1_macro,val_f1_weighted,val_precision_macro,val_recall_macro,accuracy,f1_macro,params_millions,accuracy_per_M_params,f1_per_M_params,compression_ratio
Linear Probe,3845,86393093,0.0045,2105.4432513713837,1.264740992475439,0.4793875147232038,0.4530206423042341,0.5095078342910379,0.5481599044549864,0.6157839258881352,0.4793875147232038,0.4530206423042341,0.0,124.6782,117.8207,22468.94
Full Fine-tune,86393093,86393093,100.0,856.4260945320129,0.7009111068866871,0.8468786808009423,0.803046490215326,0.8510140714448918,0.788969122962447,0.8237412123070321,0.8468786808009423,0.803046490215326,86.39,0.0098,0.0093,1.0
LoRA r=4 (qv),151301,86540549,0.1748,632.9388527870178,,0.7432273262661955,0.7102220411230858,0.7543967902463024,0.6764032284290142,0.7944259502091084,0.7432273262661955,0.7102220411230858,0.15,4.9122,4.6941,571.98
LoRA r=32 (qv),1183493,87572741,1.3514,752.181139,,0.825677,0.779058,0.832679,0.755458,0.81865,0.825677,0.779058,1.18,0.6977,0.6583,74.0
LoRA r=16 (qv),593669,86982917,0.6825,753.36142,,0.824499,0.784368,0.834896,0.76765,0.822537,0.824499,0.784368,0.59,1.3888,1.3212,146.52
LoRA r=8 (qv),298757,86688005,0.3446,863.826338,,0.772674,0.741975,0.785822,0.716407,0.810855,0.772674,0.741975,0.3,2.5863,2.4835,290.16
