rank,alpha,target_modules,implementation,total_params,trainable_params,trainable_pct,training_time_s,num_epochs_trained,best_val_metric,test_accuracy,test_f1_macro,test_f1_weighted,test_precision_macro,test_recall_macro
4,8,qv,peft,86540549,151301,0.1748,632.9388527870178,33,0.7328742117307534,0.7432273262661955,0.7102220411230858,0.7543967902463024,0.6764032284290142,0.7944259502091084
32,64,qv,peft,87572741,1183493,1.3514,752.181139,39,0.797082,0.825677,0.779058,0.832679,0.755458,0.81865
16,32,qv,peft,86982917,593669,0.6825,753.36142,39,0.803355,0.824499,0.784368,0.834896,0.76765,0.822537
8,16,qv,peft,86688005,298757,0.3446,863.826338,45,0.754233,0.772674,0.741975,0.785822,0.716407,0.810855
